Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	P093501_1 Spectral Count	P093502_2 Spectral Count	P093503_3 Spectral Count	P093504_4 Spectral Count	P093505_5 Spectral Count	P093506_6 Spectral Count	P093507_7 Spectral Count	P093508_8 Spectral Count	P093509_9 Spectral Count	P093510_10 Spectral Count	P093511_11 Spectral Count	P093512_12 Spectral Count	P093513_13 Spectral Count	P093514_14 Spectral Count	P093515_15 Spectral Count	P093516_16 Spectral Count	P093501_1 Unique Spectral Count	P093502_2 Unique Spectral Count	P093503_3 Unique Spectral Count	P093504_4 Unique Spectral Count	P093505_5 Unique Spectral Count	P093506_6 Unique Spectral Count	P093507_7 Unique Spectral Count	P093508_8 Unique Spectral Count	P093509_9 Unique Spectral Count	P093510_10 Unique Spectral Count	P093511_11 Unique Spectral Count	P093512_12 Unique Spectral Count	P093513_13 Unique Spectral Count	P093514_14 Unique Spectral Count	P093515_15 Unique Spectral Count	P093516_16 Unique Spectral Count	P093501_1 Total Spectral Count	P093502_2 Total Spectral Count	P093503_3 Total Spectral Count	P093504_4 Total Spectral Count	P093505_5 Total Spectral Count	P093506_6 Total Spectral Count	P093507_7 Total Spectral Count	P093508_8 Total Spectral Count	P093509_9 Total Spectral Count	P093510_10 Total Spectral Count	P093511_11 Total Spectral Count	P093512_12 Total Spectral Count	P093513_13 Total Spectral Count	P093514_14 Total Spectral Count	P093515_15 Total Spectral Count	P093516_16 Total Spectral Count	P093501_1 Intensity	P093502_2 Intensity	P093503_3 Intensity	P093504_4 Intensity	P093505_5 Intensity	P093506_6 Intensity	P093507_7 Intensity	P093508_8 Intensity	P093509_9 Intensity	P093510_10 Intensity	P093511_11 Intensity	P093512_12 Intensity	P093513_13 Intensity	P093514_14 Intensity	P093515_15 Intensity	P093516_16 Intensity	P093501_1 MaxLFQ Intensity	P093502_2 MaxLFQ Intensity	P093503_3 MaxLFQ Intensity	P093504_4 MaxLFQ Intensity	P093505_5 MaxLFQ Intensity	P093506_6 MaxLFQ Intensity	P093507_7 MaxLFQ Intensity	P093508_8 MaxLFQ Intensity	P093509_9 MaxLFQ Intensity	P093510_10 MaxLFQ Intensity	P093511_11 MaxLFQ Intensity	P093512_12 MaxLFQ Intensity	P093513_13 MaxLFQ Intensity	P093514_14 MaxLFQ Intensity	P093515_15 MaxLFQ Intensity	P093516_16 MaxLFQ Intensity	Indistinguishable Proteins
NP_001392672.1	NP_001392672.1			445				1.0	0.999	33	940	0	6306	10	19	68	136	126	67	67	63	54	47	38	85	60	54	28	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	153	501	851	744	465	435	275	344	282	319	544	462	449	227	169	4.3784276E7	6.1471654E8	2.443901E9	3.772176E10	1.791247E10	2.9775716E9	2.0016289E9	3.202348E9	2.3308982E9	3.286588E9	3.209436E9	3.5752883E9	4.409805E9	4.746052E9	1.02726445E9	5.0527504E8	3.2580298E8	2.9668125E8	1.1052262E9	6.194876E9	4.593874E9	1.2758049E9	9.839611E8	1.0751809E9	7.7392723E8	9.177783E8	9.058071E8	1.2938766E9	9.988584E8	8.5692685E8	3.262443E8	2.5510549E8	XP_044383227.1, XP_044390710.1
NP_001392676.1	NP_001392676.1			409				1.0	0.999	22	775	0	775	151	200	3	110	138	1	0	0	64	37	21	13	13	23	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	200	3	110	138	1	0	0	64	37	21	13	13	23	0	1	7.587994E9	1.0502987E10	7867588.0	5.7400096E8	1.7479418E9	0.0	8718638.0	0.0	5.2934266E8	3.408587E8	1.7149963E8	8.708941E7	1.1011603E8	1.5959333E8	0.0	0.0	7.8460256E8	1.196042E9	8735259.0	8.500299E7	2.3739978E8	0.0	4.7300954E8	0.0	6.77856E7	5.1769564E7	3.2877436E7	1.8420544E7	2.3852544E7	3.165295E7	0.0	0.0	XP_044370383.1
NP_001392677.1	NP_001392677.1			401				0.9999	0.999	49	145	145	6647	4	8	7	9	10	8	5	10	9	12	13	10	12	11	7	10	4	8	7	9	10	8	5	10	9	12	13	10	12	11	7	10	240	332	406	428	428	429	408	384	462	573	572	393	408	480	381	323	4.3569536E7	1.5990611E8	1.3920056E8	1.5242754E8	1.8127472E8	1.2337181E8	1.0396229E8	1.108153E8	4.495436E8	5.8721555E8	7.5865056E8	1.5207872E8	2.5479096E8	4.8130397E8	2.5536926E8	2.6309315E8	4.3569536E7	1.5990611E8	1.3920056E8	1.5242754E8	1.8127472E8	1.2337181E8	1.0396229E8	1.108153E8	4.495436E8	5.8721555E8	7.5865056E8	1.5207872E8	2.5479096E8	4.8130397E8	2.5536926E8	2.6309315E8	
NP_001392678.1	NP_001392678.1			307				0.9424	0.999	1	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.659299E8	9.5975795E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.659299E8	9.5975795E8	XP_044418030.1, XP_044418031.1
NP_001392679.1	NP_001392679.1			168				1.0	0.999	9	81	81	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	36	0	0	0	0	1	0	0	1	0	0	0	0	0	0	108	81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.111937E9	1.8255007E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.027514E9	1.580036E9	
NP_001392680.1	NP_001392680.1			145				1.0	0.999	4	27	27	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.157943E9	3.5495828E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0640685E10	1.77747E9	
NP_001392681.1	NP_001392681.1			276				1.0	0.999	3	38	0	38	0	1	5	3	10	1	4	2	4	0	1	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	3	10	1	4	2	4	0	1	3	2	2	0	0	0.0	2949394.8	9743028.0	1.2969232E7	1.281183E7	2734803.0	5999357.5	1647904.9	1564623.5	0.0	0.0	2884878.0	2663054.2	3311692.0	0.0	0.0	0.0	2760938.5	6760465.5	7508472.5	6335611.0	5654477.0	4049809.0	1057627.5	1053835.8	0.0	0.0	1913682.0	1466428.8	1092492.5	0.0	0.0	XP_044413658.1
NP_001392683.1	NP_001392683.1			143				1.0	0.999	6	146	89	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.862557E10	1.5765413E10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6701186E10	1.4167229E10	
NP_001392703.1	NP_001392703.1			349				1.0	0.999	4	6	6	55	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	2	4	3	2	4	6	0	3	2	3	9	9	8	0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.4167616E7	0.0	3.0436218E7	0.0	0.0	1.07154E8	1.3152115E8	3.9264436E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6534948E7	0.0	3.341759E7	0.0	0.0	5.4054556E7	6.724592E7	3.712365E7	0.0	0.0	
NP_001392704.1	NP_001392704.1			259				1.0	0.999	25	7	7	1890	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	373	398	8	171	295	7	2	6	169	134	133	49	47	84	2	12	2.8691054E7	2.0891533E8	0.0	0.0	5.52852E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8691054E7	1.1273879E8	0.0	0.0	5.52852E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NP_001392705.1	NP_001392705.1			328				1.0	0.999	33	3335	0	3335	567	707	34	281	443	28	20	14	269	220	229	115	130	185	41	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	567	707	34	281	443	28	20	14	269	220	229	115	130	185	41	52	2.3173256E11	1.616355E11	3.5000506E8	2.8260968E10	6.6325725E10	1.6635614E8	1.739273E8	8.488184E7	3.0917226E10	2.4511283E10	1.8576953E10	2.6478095E9	3.696699E9	7.9703557E9	2.689976E8	4.993663E9	5.9267973E10	5.371161E10	2.5519222E8	7.3110036E9	1.6709613E10	1.2163938E8	1.0867551E8	7.33904E7	6.1800125E9	5.018769E9	4.306375E9	7.7046496E8	1.0052853E9	1.6363741E9	2.986552E8	1.3575233E9	XP_044323867.1, XP_044456828.1
NP_001392706.1	NP_001392706.1			150				0.0	0.999	3	4	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	3	0	0	0	1	0	0	2	16	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7869828.5	6281090.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7869828.5	6281090.5	XP_044402090.1
NP_001392707.1	NP_001392707.1			131				1.0	0.999	4	18	14	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0724332E7	4.916284E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3872107E7	2.110046E7	
NP_001392708.1	NP_001392708.1			473				1.0	0.999	27	7	7	2404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	146	196	90	183	152	77	66	62	161	167	166	154	142	163	256	223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6488196E7	3.6332028E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8901508E7	2.228004E7	
NP_001392711.1	NP_001392711.1			137				1.0	0.999	4	31	17	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	38	39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9248363E8	3.3453642E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1012904E8	1.6869405E8	
NP_001392712.1	NP_001392712.1			559				1.0	0.999	50	395	310	2989	7	16	33	24	11	23	25	27	20	13	12	40	33	23	46	42	6	11	27	19	10	19	22	24	14	9	8	30	28	17	34	32	67	112	255	216	133	245	219	182	163	129	135	228	226	244	232	203	2.0639131E8	3.6602458E8	3.0539384E9	1.1519016E9	4.844367E8	2.3918182E9	2.2237204E9	1.5284495E9	1.3698566E9	7.609193E8	8.400315E8	3.4190003E9	3.8487112E9	1.9366829E9	3.930366E9	2.81459E9	7.068127E8	7.925176E8	1.4369711E9	1.0587727E9	6.8794195E8	1.7073318E9	1.3875675E9	1.635872E9	1.1133691E9	9.353284E8	8.237991E8	1.8213723E9	1.800098E9	1.1326464E9	2.8280635E9	2.5227139E9	
NP_001392713.1	NP_001392713.1			131				1.0	0.999	7	888	138	888	36	58	54	66	67	62	52	63	50	55	62	58	49	61	52	43	5	9	6	11	8	8	7	8	11	12	10	8	6	13	10	6	36	58	54	66	67	62	52	63	50	55	62	58	49	61	52	43	4.901035E8	5.918364E8	5.094804E8	1.3078296E9	8.48398E8	7.287276E8	4.1748006E8	7.415389E8	2.6027354E8	2.3686382E8	4.0504877E8	4.7179254E8	7.6847046E8	6.3183955E8	3.7041187E8	4.907193E8	1.732049E8	2.2853675E8	1.6290304E8	4.14489E8	2.6852262E8	2.0199845E8	1.4214299E8	2.0808088E8	9.173302E7	7.687018E7	1.2688706E8	1.5761256E8	2.1304982E8	2.0270341E8	1.22179256E8	1.6084746E8	
NP_001392717.1	NP_001392717.1			161				1.0	0.999	21	445	0	445	13	20	20	52	41	19	20	13	22	26	39	36	30	64	21	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	20	20	52	41	19	20	13	22	26	39	36	30	64	21	9	4.195384E9	5.1932083E9	5.7822623E9	5.117528E9	3.4509437E9	4.0348695E9	6.8673475E9	2.300547E9	4.5211863E9	2.9931364E9	7.314293E9	9.75183E9	8.762221E9	2.1665613E9	8.047387E9	9.884197E9	3.5292897E9	1.5021156E9	1.9067045E9	1.6199974E9	1.6882469E9	2.204211E9	2.97792E9	1.3504964E9	1.907604E9	1.6007188E9	3.184333E9	2.945299E9	3.5327724E9	1.4544978E9	2.3684713E9	2.3192435E9	XP_044445717.1
NP_001392718.1	NP_001392718.1			81				0.9913	0.999	2	22	5	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.980466E8	3.527636E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7062374E8	2.3499192E8	
NP_001392719.1	NP_001392719.1			398				1.0	0.999	20	107	107	715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	60	2	3	3	5	6	3	3	5	5	6	5	7	7	8	290	357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.018477E9	8.151363E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2770227E9	3.0331592E9	
NP_001392720.1	NP_001392720.1			327				1.0	0.999	3	23	2	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8777157E9	1.0856888E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1118392E9	1.243476E9	
NP_001392744.1	NP_001392744.1			244				1.0	0.999	12	597	0	597	13	12	31	67	36	25	30	46	33	60	61	39	47	36	32	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	31	67	36	25	30	46	33	60	61	39	47	36	32	29	1.65013E8	7.847764E7	1.0112732E8	3.9061664E8	1.6666125E8	9.385684E7	1.1396869E8	3.0992048E8	2.2688006E8	4.6668032E8	4.1115936E8	1.661204E8	3.288603E8	1.1430394E8	1.5208904E8	2.051162E8	4.209183E7	3.4361868E7	3.6074132E7	4.8589628E7	3.3438586E7	3.6614588E7	3.3441306E7	5.430038E7	5.6237784E7	8.020323E7	7.053962E7	3.812629E7	4.843773E7	3.54206E7	5.107946E7	4.857746E7	XP_044366298.1
NP_001392745.1	NP_001392745.1			604				1.0	0.999	35	188	0	1561	0	0	0	0	0	0	0	0	23	27	17	0	2	8	43	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1	0	205	228	163	13	44	130	326	446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7373142E8	2.0735376E8	1.5842512E8	0.0	639177.6	3.4735844E7	6.3304403E8	1.9279497E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8513076E7	4.5083844E7	3.6488276E7	0.0	4615755.0	1.5799749E7	9.184894E7	2.4324213E8	
NP_001392746.1	NP_001392746.1			527				1.0	0.999	45	54	54	1429	1	3	4	6	3	4	5	3	2	2	3	5	3	3	4	3	1	3	4	6	3	4	5	3	2	2	3	5	3	3	4	3	37	61	138	140	99	118	124	78	60	51	68	105	109	80	99	62	0.0	4.106476E7	2.3238078E8	1.7272922E8	6.0051696E7	1.382581E8	1.6549398E8	8.066027E7	2.4309818E7	2.4598622E7	8.8994584E7	1.7491973E8	1.6632854E8	8.026552E7	5.290792E7	4.2406348E7	0.0	3.397896E7	1.4453562E8	9.601646E7	9.200086E7	7.913659E7	9.818687E7	3.7756844E7	3.7243316E7	3.7685772E7	5.3795704E7	9.69676E7	8.747872E7	2.0195236E7	8.10564E7	6.4967704E7	
NP_001392749.1	NP_001392749.1			224				1.0	0.999	16	225	0	225	1	0	1	0	0	0	0	2	0	0	0	0	0	0	142	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	142	79	4.575068E7	0.0	0.0	0.0	0.0	0.0	0.0	3.67438E7	0.0	0.0	0.0	0.0	0.0	0.0	6.948323E10	5.023836E10	5.3725524E7	0.0	0.0	0.0	0.0	0.0	0.0	1.2610661E8	0.0	0.0	0.0	0.0	0.0	0.0	1.7097375E10	1.5597928E10	NP_001392750.1
NP_001392751.1	NP_001392751.1			181				1.0	0.999	9	391	0	391	6	16	29	23	29	27	28	8	25	20	27	33	33	43	28	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	16	29	23	29	27	28	8	25	20	27	33	33	43	28	16	1.4964615E7	7.253974E7	8.722323E7	1.2925101E8	1.0842906E8	7.195043E7	9.3286936E7	5.3902484E7	9.463356E7	2.1957109E8	8.613436E7	1.2874018E8	1.2275241E8	1.4216997E8	1.2937189E8	6.772725E7	1.8400932E7	2.2724916E7	2.2893236E7	1.9692208E7	2.133424E7	1.947518E7	2.334581E7	1.5718118E7	2.4018508E7	2.5340222E7	2.3192334E7	2.8513306E7	2.9274176E7	2.9419916E7	3.238653E7	2.0875122E7	XP_044343452.1, XP_044352372.1
NP_001392752.1	NP_001392752.1			215				1.0	0.999	8	357	0	357	9	21	23	26	23	18	18	19	25	27	20	33	30	34	14	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	21	23	26	23	18	18	19	25	27	20	33	30	34	14	17	1.3303233E8	6.6084397E8	5.519329E8	8.7339494E8	5.2463546E8	7.075216E8	2.6441875E8	8.755177E8	1.4855608E9	6.577776E8	8.2532563E8	1.331534E9	1.5827359E9	6.438643E8	5.576393E8	7.161041E8	2.7444528E8	3.7918218E8	3.346844E8	4.604181E8	3.1205254E8	3.9534755E8	3.6829014E8	4.602708E8	4.9542182E8	4.73576E8	4.1242147E8	5.3188867E8	5.536952E8	3.8733814E8	4.022551E8	4.899426E8	XP_044343451.1
NP_001392760.1	NP_001392760.1			485				1.0	0.999	55	787	387	8082	35	41	61	73	65	58	50	38	52	53	42	60	49	61	28	21	19	22	27	38	37	28	19	17	30	29	24	30	20	29	11	7	275	360	608	954	858	575	591	448	480	407	443	501	463	600	283	236	5.2297894E8	8.276742E8	7.665279E8	2.0972511E9	3.1130982E9	8.148891E8	6.5884365E8	4.8102198E8	8.560811E8	8.3242285E8	1.003E9	9.549974E8	6.1323475E8	1.2728518E9	2.5579738E8	1.2606324E8	3.0466547E8	3.2542538E8	3.0557043E8	6.640706E8	6.697321E8	3.358367E8	2.6710187E8	2.2337653E8	3.6606026E8	2.8384394E8	3.1233098E8	4.072311E8	2.3202171E8	2.4004981E8	1.1435302E8	8.977174E7	
NP_001392763.1	NP_001392763.1			376				1.0	0.999	3	280	276	280	0	0	0	0	0	0	0	14	0	0	0	0	0	0	143	123	0	0	0	0	0	0	0	14	0	0	0	0	0	0	141	121	0	0	0	0	0	0	0	14	0	0	0	0	0	0	143	123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07554936E8	0.0	0.0	0.0	0.0	0.0	0.0	6.7963822E10	3.2012984E10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3258864E7	0.0	0.0	0.0	0.0	0.0	0.0	2.3718894E10	1.9117206E10	
NP_001392766.1	NP_001392766.1			233				1.0	0.999	9	82	0	93	1	0	4	1	0	7	6	12	4	1	1	14	20	7	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	2	1	9	7	12	4	1	1	15	23	8	2	2	7613444.5	0.0	1.5238461E7	5984378.5	0.0	3.519617E7	3.953088E7	2.5623469E8	1.0251435E7	6.1690216E7	1.2393432E8	1.32158536E8	7.480379E7	7.109815E7	1.4843952E7	1.9366572E7	3.1433884E7	0.0	2.5679064E7	2.4707904E7	0.0	2.3582616E7	3.245052E7	3.614973E7	1.9922894E7	1.6508892E7	2.837647E7	3.2866066E7	2.530362E7	1.4949922E7	2.3498868E7	2.3397132E7	XP_044394419.1, XP_044394425.1
NP_001392770.1	NP_001392770.1			570				1.0	0.999	34	489	92	1854	36	58	55	52	30	143	80	0	2	1	1	10	5	11	2	3	0	0	18	3	0	39	27	0	0	0	0	0	0	0	2	3	139	195	263	158	104	438	278	71	19	17	16	35	26	35	30	30	5.358308E9	1.758571E10	1.1156921E10	6.859835E9	5.4201293E9	2.9912613E10	1.6562969E10	0.0	1.5408266E8	7.106331E7	2.4048762E8	7.5947437E8	4.4524982E8	1.0167062E9	4959988.0	4134919.5	4.2673774E9	1.1191056E10	4.2666616E9	3.5943432E9	3.4755617E9	1.1973515E10	6.7058647E9	0.0	1.0785547E8	4.8737692E7	1.6812763E8	4.441983E8	2.6180734E8	7.2736704E8	1.0904279E9	9.0904083E8	
NP_001392771.1	NP_001392771.1			569				1.0	0.999	38	168	97	2158	18	28	15	18	11	34	22	0	3	0	2	6	3	8	0	0	12	16	8	12	6	19	12	0	3	0	2	3	1	3	0	0	192	254	284	206	148	448	293	79	25	16	27	53	37	52	19	25	2.1489336E8	3.5249005E8	6.2462605E8	2.2145339E8	7.150032E7	1.7949989E8	2.0556458E8	0.0	3.0190358E7	0.0	0.0	3.506867E7	4.5664536E7	1.0782161E8	0.0	0.0	1.7226995E8	3.1061853E8	1.7777568E8	1.5902648E8	9.207375E7	1.9173734E8	1.5460582E8	0.0	1.934685E7	0.0	0.0	3.3156528E7	3.0803932E7	7.107565E7	0.0	0.0	
NP_001392772.1	NP_001392772.1			356				0.9999	0.999	23	121	17	2265	1	2	6	18	35	9	14	6	2	2	5	9	4	6	0	2	0	0	1	5	5	0	2	0	0	0	1	1	1	1	0	0	23	74	186	344	509	241	222	112	60	55	73	147	124	74	11	10	4543386.0	1.4612812E7	9.810144E7	1.9210541E9	3.023166E9	7.327421E7	1.0407291E8	1.2992498E7	8914933.0	4504588.0	4.1156196E7	2.4320144E8	1.312768E8	5.0588196E7	0.0	2503554.2	2.8356906E7	4.5173576E7	3.904768E7	1.3796378E8	3.670903E8	4.107302E7	4.2861364E7	3.9956588E7	2.716588E7	2.8114754E7	3.1481208E7	3.731684E7	3.1391144E7	2.5291382E7	0.0	1.5264495E7	
NP_001392897.1	NP_001392897.1			291				0.9829	0.999	2	21	2	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.9409176E7	2.3527686E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.164894E7	1.14049064E8	
NP_001392899.1	NP_001392899.1			490				1.0	0.9988	27	31	31	1002	0	0	5	4	0	3	3	1	2	1	0	3	3	6	0	0	0	0	5	4	0	3	3	1	2	1	0	3	3	6	0	0	8	17	126	95	74	82	80	55	84	39	36	87	83	112	16	8	0.0	0.0	7642086.5	5132516.0	0.0	5966462.5	6503205.5	3692863.0	6965850.5	1944279.1	0.0	4326362.0	4630399.0	2.4477494E7	0.0	0.0	0.0	0.0	9032732.0	6066490.0	0.0	7052191.0	7686606.5	4364860.5	8233439.5	2298083.2	0.0	5113638.5	5473001.5	4576492.0	0.0	0.0	
NP_001392900.1	NP_001392900.1			275				1.0	0.999	17	1916	0	1916	92	140	126	131	110	116	128	100	122	161	155	122	112	131	98	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	140	126	131	110	116	128	100	122	161	155	122	112	131	98	72	1.4503354E9	2.1749038E9	2.4760008E9	1.0825126E9	1.0035291E9	1.6897542E9	1.8540466E9	1.5268623E9	2.265199E9	2.625198E9	2.3519974E9	1.3787741E9	2.0802717E9	1.6119698E9	1.178808E9	9.8105837E8	5.073575E8	5.2007062E8	5.13906E8	3.8629187E8	3.654867E8	5.5109037E8	5.577589E8	4.9136928E8	5.226067E8	7.972446E8	7.800143E8	3.9920835E8	4.6360906E8	3.3859565E8	4.0770358E8	3.90321E8	XP_044388589.1
NP_001392901.1	NP_001392901.1			575				1.0	0.999	6	23	0	23	0	15	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0.0	4.713883E7	0.0	4854111.5	1.0378669E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3657341E7	0.0	5213039.5	3744244.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	XP_044397224.1
NP_001392904.1	NP_001392904.1			1051				1.0	0.999	72	3985	52	4878	83	99	270	353	258	316	286	294	203	192	229	314	318	355	231	184	0	0	4	8	3	6	6	3	1	3	2	4	3	6	2	1	103	122	331	429	320	383	341	355	255	238	274	389	399	434	275	230	2.0638234E9	4.671887E9	1.0569911E10	1.8294954E10	7.867115E9	1.3654669E10	1.2831599E10	1.2522861E10	6.588083E9	8.418017E9	1.0976151E10	1.8810059E10	1.9015393E10	2.287433E10	1.3831582E10	7.172369E9	1.2832259E9	1.2659035E9	2.478657E9	3.811371E9	2.183863E9	3.1019008E9	2.964341E9	3.1778982E9	1.8048106E9	2.1074428E9	2.4247974E9	3.6381588E9	3.548582E9	3.8709855E9	2.3553295E9	2.0440535E9	
